frame,time,direction,hex,raw_packet,packet
666,13.986082,D->H,419d82020100000bc50f00001a0000002e100000020000009210000060000000540d04007c7e2003f900847e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 157, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\xc5\x0f\0\0\x1a\0\0\0.\x10\0\0\x02\0\0\0\x92\x10\0\0`\0\0\0T\r\x04\0|~ \x03\xf9\0\x84~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.004037, ibus_a: 2.6e-5, power_w: 1.0496199999999998e-7, vbus_avg_v: 0.004142, ibus_avg_a: 2e-6, temp_c: 26.0, vdp_v: 0.08, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.238, cc2_avg_v: 0.3236, internal_vdd_v: 3.2388, sample_rate: Sps1 })"
667,13.986276,D->H,,-,-
668,14.006139,H->D,0c9e2000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 158, attribute: 16 }, payload: b"""" }",CmdGetPdData
669,14.006180,H->D,,-,-
670,14.006213,D->H,419e820010000003b7570800030000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 158, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\xb7W\x08\0\x03\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\xb7W\x08\0\x03\0\0\0\0\0\xa5\x0c"")"
671,14.006586,D->H,,-,-
672,14.046244,H->D,0c9f2000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 159, attribute: 16 }, payload: b"""" }",CmdGetPdData
673,14.046284,H->D,,-,-
674,14.046323,D->H,419f820010000003df570800040000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 159, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\xdfW\x08\0\x04\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\xdfW\x08\0\x04\0\0\0\0\0\xa5\x0c"")"
675,14.046764,D->H,,-,-
676,14.086268,H->D,0ca02000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 160, attribute: 16 }, payload: b"""" }",CmdGetPdData
677,14.086322,H->D,,-,-
678,14.086343,D->H,41a082001000000307580800040000000000a30c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 160, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\x07X\x08\0\x04\0\0\0\0\0\xa3\x0c"" }","PdRawData(b""\x07X\x08\0\x04\0\0\0\0\0\xa3\x0c"")"
679,14.086877,D->H,,-,-
680,14.126079,H->D,0ca12000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 161, attribute: 16 }, payload: b"""" }",CmdGetPdData
681,14.126134,H->D,,-,-
